respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.141715553,0.213441154
26708,0.029728374,0.027839018
26709,0.203850827,0.723260524
26710,0.579999073,0.856047569
26711,0.304673315,0.485020639
26712,0.804258297,0.959641099
26713,0.200365968,0.559599541
26714,0.183527869,0.201250544
26715,0.02424729,0.104831922
26716,0.178212594,0.875039347
26717,0.019164372,0.414149926
26718,0.304692661,0.47080209
26719,0.132280199,0.940090504
26720,0.02627919,0.225003714
26721,0.376289845,0.436507116
26722,0.112615261,0.144656744
26723,0.853173281,0.924706225
26724,0.03631206,0.677860956
26725,0.013731205,0.063205029
26726,0.023459186,0.035196644
26727,0.405340814,0.894144704
26728,0.241743622,0.470533655
26729,0.119654974,0.6740693
26730,0.040459281,0.13983556
26731,0.052629797,0.268763891
26732,0.133131368,0.15228633
26733,0.951765091,0.965105351
26734,0.732388887,0.350182179
26735,0.074245374,0.295009674
26736,0.067499089,0.16978992
26737,0.080467263,0.152997082
26738,0.80686675,0.851151744
26739,0.135877188,0.208850945
26740,0.162673707,0.08817406
26741,0.059735495,0.901710287
26742,0.15192175,0.446278279
26743,0.057318083,0.411454857
26744,0.038229963,0.602569319
26745,0.052154992,0.859247216
26746,0.109245757,0.280258419
26747,0.050063758,0.249479032
26748,0.062783105,0.075253101
26749,0.080846931,0.665305182
26750,0.354120948,0.843455189
26751,0.497006538,0.743137451
26752,0.053828345,0.08403771
26753,0.304762528,0.62214993
26754,0.153058195,0.552775755
26755,0.103239163,0.359239866
26756,0.028254588,0.025149062
26757,0.186657128,0.453517798
26758,0.421905966,0.795675391
26759,0.028848166,0.208149691
26760,0.033851429,0.05750923
26761,0.330201342,0.745851846
26762,0.183508147,0.807359481
26763,0.913168525,0.974743447
26764,0.955361193,0.968511695
26765,0.042294883,0.708187839
26766,0.139089252,0.124422945
26767,0.895968293,0.741603136
26768,0.020254514,0.39769818
26769,0.073063459,0.129947337
26770,0.053416112,0.510992963
26771,0.019557613,0.109693207
26772,0.092425345,0.473111696
26773,0.042208477,0.342590697
26774,0.027828951,0.360098721
26775,0.035323381,0.440320069
26776,0.390985701,0.422942376
26777,0.194337085,0.881259455
26778,0.070009949,0.060386935
26779,0.14614399,0.649863338
26780,0.057091927,0.889284517
26781,0.057899251,0.572482253
26782,0.069179943,0.353050049
26783,0.032874101,0.341620853
26784,0.05996516,0.749885075
26785,0.403142733,0.521670549
26786,0.058203401,0.207695251
26787,0.036985736,0.535032563
26788,0.053945153,0.896998889
26789,0.024801452,0.244094092
26790,0.025904602,0.259104728
26791,0.04814371,0.116960529
26792,0.110802495,0.74642772
26793,0.146484426,0.943415417
26794,0.54393162,0.809616215
26795,0.076181696,0.94608565
26796,0.053943841,0.078326846
26797,0.148243747,0.719042867
26798,0.369467454,0.29133658
26799,0.2134735,0.254787568
26800,0.068123832,0.959345634
